label,csv,angle_span_deg,screen_status,work_period_j,full_rev_equiv_j,average_torque_nm,peak_positive_nm,peak_positive_deg,peak_negative_nm,peak_negative_deg,positive_gross_work_j,negative_gross_work_abs_j,gross_work_j,net_to_gross_ratio,cancellation_ratio,closure_delta_nm,decision
asym b eml offset pos15,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos15_period45_step1.csv,45.0,complete_period,0.11118194823550094,0.8894555858840075,0.14156125315413765,4.916929048298559,22.0,-3.984706009627361,35.0,1.1635394833151653,1.0523575350796643,2.2158970183948297,0.050174691022437434,0.9498253089775626,-0.001191332744900464,WEAK_POSITIVE_DO_NOT_PROMOTE
asym b eml offset pos21,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos21_period45_step1.csv,45.0,complete_period,0.10466526761223523,0.8373221408978818,0.13326395768418636,4.934703370904195,28.0,-3.923138885740126,41.0,1.1603315661220293,1.0556662985097944,2.2159978646318237,0.04723166447167349,0.9527683355283267,-0.0270718831388177,WEAK_POSITIVE_DO_NOT_PROMOTE
opt gap 159p5,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_159p5_period45_step1.csv,45.0,complete_period,0.1042934612896034,0.8343476903168272,0.13279055917122895,4.557639110768105,19.0,-3.812398177623705,9.0,1.0567721701040784,0.952478708814475,2.0092508789185537,0.051906639625678624,0.9480933603743213,0.123257614197263,WEAK_POSITIVE_DO_NOT_PROMOTE
teb a,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_teb_a_period45_step1.csv,45.0,complete_period,0.09580930519630396,0.7664744415704317,0.12198819612953431,6.177092048863132,27.0,-6.110076149784783,40.0,1.4449190701472403,1.3491097649509365,2.794028835098177,0.034290736012728876,0.9657092639872712,0.05720822398368591,WEAK_POSITIVE_DO_NOT_PROMOTE
asym b eml offset pos9,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos9_period45_step1.csv,45.0,complete_period,0.08970093032914803,0.7176074426331842,0.11421077169460499,5.027615121411482,16.0,-4.140952262029499,5.0,1.151032232745471,1.0613313024163233,2.2123635351617943,0.04054529416323436,0.9594547058367658,0.033150081898615014,WEAK_POSITIVE_DO_NOT_PROMOTE
opt opt eml arc minus30pct,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_eml_arc_minus30pct_period45_step1.csv,45.0,complete_period,0.06789340838163568,0.5431472670530855,0.0864445723783523,1.629762658150413,40.0,-1.53814946169473,23.0,0.2987618186439186,0.230868410262283,0.5296302289062016,0.12819020644242668,0.8718097935575735,0.05057500654682401,WEAK_POSITIVE_DO_NOT_PROMOTE
opt combo gap159 arc20,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_combo_gap159_arc20_period45_step1.csv,45.0,complete_period,0.06717536368949595,0.5374029095159676,0.0855303294814328,2.479455315841475,18.0,-1.31685161700899,11.0,0.45853038601725965,0.39135502232776354,0.8498854083450231,0.07904049537726049,0.9209595046227393,-0.0011806811295172748,WEAK_POSITIVE_DO_NOT_PROMOTE
asym d,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_d_period45_step1.csv,45.0,complete_period,0.05814284908577388,0.465142792686191,0.074029774699576,4.249494580133603,30.0,-3.459346870179707,42.0,0.9593944514555516,0.9012516023697779,1.8606460538253295,0.031248742320570396,0.9687512576794297,-0.02837934765150285,WEAK_POSITIVE_DO_NOT_PROMOTE
teb b,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_teb_b_period45_step1.csv,45.0,complete_period,0.04289567713391529,0.3431654170713223,0.054616472425092835,6.27737654326524,27.0,-6.17502916555807,40.0,1.4409149307086107,1.398019253574695,2.8389341842833056,0.015109782175082156,0.9848902178249177,0.01743467313717509,WEAK_POSITIVE_DO_NOT_PROMOTE
opt gap 160p0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_160p0_period45_step1.csv,45.0,complete_period,0.03266791478841649,0.26134331830733193,0.041594080952650506,4.335045662356793,41.0,-3.917065462380235,31.0,0.9466467165187133,0.9139788017302969,1.8606255182490101,0.017557490461143133,0.9824425095388569,0.0671018350708481,WEAK_POSITIVE_DO_NOT_PROMOTE
teb d,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_teb_d_period45_step1.csv,45.0,complete_period,0.030427622033780858,0.24342097627024686,0.038741651625664744,6.340695784062254,27.0,-6.020821323841505,18.0,1.3930637686246727,1.362636146590892,2.7556999152155646,0.011041703730429828,0.9889582962695702,-0.1469197142844007,WEAK_POSITIVE_DO_NOT_PROMOTE
opt gap 161p0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_161p0_period45_step1.csv,45.0,complete_period,0.028061777082996363,0.2244942166639709,0.03572936427761391,3.792646400358474,18.0,-3.703626775320862,32.0,0.917833012338007,0.8897712352550108,1.8076042475930176,0.0155242925105775,0.9844757074894226,0.05746442380533301,WEAK_POSITIVE_DO_NOT_PROMOTE
opt opt stator inner gap minus1mm,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_stator_inner_gap_minus1mm_period45_step1.csv,45.0,complete_period,0.015277898165617886,0.12222318532494308,0.019452424104901493,5.205569688762124,18.0,-4.412366052345973,32.0,1.1177341834708292,1.1024562853052111,2.2201904687760403,0.006881345713568609,0.9931186542864313,0.010708737744288932,WEAK_POSITIVE_DO_NOT_PROMOTE
opt gap 158p5,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_gap_158p5_period45_step1.csv,45.0,complete_period,0.012630855347855324,0.1010468427828426,0.01608210451271901,5.919815144811334,41.0,-4.299996785181957,9.0,1.1518252536450049,1.1391943982971493,2.291019651942154,0.00551320253283198,0.994486797467168,-0.00227350546446492,WEAK_POSITIVE_DO_NOT_PROMOTE
teb c,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_teb_c_period45_step1.csv,45.0,complete_period,-0.015454089262574633,-0.12363271410059706,-0.01967675757697709,6.322811746531181,4.0,-6.190379493773927,41.0,1.3881936059259365,1.403647695188511,2.791841301114448,0.005535446895353853,0.9944645531046462,0.2336718734086073,REJECT_OR_REWORK
asym c,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_c_period45_step1.csv,45.0,complete_period,-0.015851267953641987,-0.1268101436291359,-0.020182461192770198,4.455055497101826,7.0,-3.626611828944842,20.0,0.9708921614257366,0.9867434293793786,1.9576355908051153,0.00809714945319463,0.9919028505468054,0.1437450804815632,REJECT_OR_REWORK
asym a,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_a_period45_step1.csv,45.0,complete_period,-0.03255348991662185,-0.2604279193329748,-0.041448390680980315,5.490311316387436,6.0,-5.092500934056729,42.0,1.221370465251939,1.253923955168561,2.4752944204205,0.013151360762608475,0.9868486392373915,-0.05736702924486403,REJECT_OR_REWORK
opt opt stator relief 2deg,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_opt_opt_stator_relief_2deg_period45_step1.csv,42.0,incomplete_period,-0.19545813564552827,-1.6753554483902422,-0.2666411010472458,5.283553850181515,19.0,-4.402152645622057,9.0,0.9549100210160919,1.15036815666162,2.105278177677712,0.09284195206028974,0.9071580479397103,2.7590686876359922,INCOMPLETE_SWEEP_IGNORE
