eml_offset_deg,csv,angle_span_deg,work_45deg_j,full_rev_equiv_j,peak_positive_nm,peak_negative_nm,positive_gross_work_j,negative_gross_work_j,cancellation_ratio,decision,femm_status
12,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos12_period45_step1.csv,45.0,0.14482255773834068,1.1585804619067255,4.849366573955861,-3.954360427604679,1.1651251928505875,-1.0203026351122466,0.9337326285108493,HOLD_FOR_NEARBY_VARIANTS,solved
-6,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_neg6_period45_step1.csv,45.0,0.13901921889887456,1.1121537511909965,5.019872706544025,-3.990632450965469,1.170513601933825,-1.0314943830349506,0.9368670686719396,HOLD_FOR_NEARBY_VARIANTS,solved
-12,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_neg12_period45_step1.csv,45.0,0.13339965000292195,1.0671972000233756,4.895023775749918,-3.887606644451739,1.1715941906363836,-1.038194540633462,0.9396323964751762,HOLD_FOR_NEARBY_VARIANTS,solved
18,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos18_period45_step1.csv,45.0,0.12162315069878782,0.9729852055903025,4.97645599527701,-3.936392060947676,1.1705699527416142,-1.0489468020428268,0.9452028688512426,WEAK_POSITIVE_DO_NOT_PROMOTE,solved
0,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_period45_step1.csv,45.0,0.11896223100141617,0.9516978480113294,5.044163222425373,-3.994061657560415,1.1627591760611902,-1.043796945059774,0.9460869225746311,WEAK_POSITIVE_DO_NOT_PROMOTE,solved
6,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos6_period45_step1.csv,45.0,0.11223769281422169,0.8979015425137735,4.954477068559049,-4.077662884239452,1.1638012447875243,-1.0515635519733026,0.9493366993199815,WEAK_POSITIVE_DO_NOT_PROMOTE,solved
15,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos15_period45_step1.csv,45.0,0.11118194823550094,0.8894555858840075,4.916929048298559,-3.984706009627361,1.1635394833151653,-1.0523575350796643,0.9498253089775626,WEAK_POSITIVE_DO_NOT_PROMOTE,solved
21,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos21_period45_step1.csv,45.0,0.10466526761223523,0.8373221408978818,4.934703370904195,-3.923138885740126,1.1603315661220293,-1.0556662985097944,0.9527683355283267,WEAK_POSITIVE_DO_NOT_PROMOTE,solved
9,C:/Users/Owner/Documents/Codex/pm-gradient-motor-lab/data/field_sim/femm_asym_b_eml_offset_pos9_period45_step1.csv,45.0,0.08970093032914803,0.7176074426331842,5.027615121411482,-4.140952262029499,1.151032232745471,-1.0613313024163233,0.9594547058367658,WEAK_POSITIVE_DO_NOT_PROMOTE,solved
