angle_deg,torque_nm
0,4.125906751001791
1,4.902643543039465
2,4.868293915942735
3,4.705311293154023
4,4.488952585134803
5,3.382492073080002
6,2.354786874048235
7,0.8930351234280073
8,-0.1962566249134544
9,-1.163306692764567
10,-1.817787747749323
11,-2.385915134319549
12,-3.111730549390788
13,-3.409461285834623
14,-3.618110761258474
15,-3.935827806973348
16,-3.650070458104331
17,-3.322608751247326
18,-2.505336665067739
19,-1.004190433976555
20,0.5100860069380768
21,2.075782519308881
22,3.362428171577376
23,4.219945220689901
24,4.850295377754453
25,4.97645599527701
26,4.23102217646415
27,3.917547343304479
28,2.89374074886118
29,1.799786343463623
30,0.6313421972379095
31,-0.4211723477962522
32,-1.516038272921611
33,-2.277994234534072
34,-2.835401387675969
35,-3.301853993182498
36,-3.707096551715396
37,-3.696131952087217
38,-3.936392060947676
39,-3.789244107001029
40,-3.064287488451946
41,-1.871670527796246
42,-0.2521926898250111
43,1.427193366155149
44,3.155593714852896
45,4.097767572891726
