angle_deg,torque_nm
0,-0.1534311945214865
1,-0.3528971319190988
2,-0.7062792865950123
3,-0.9160170188596046
4,-0.7153186948705204
5,-0.5581055064576841
6,-0.9032011886498953
7,-0.977807763917097
8,-1.012593174571092
9,-1.265772408335756
10,-0.9722921809210267
11,-1.31685161700899
12,-1.059310640795766
13,-0.4267457877083098
14,0.2697639305251007
15,1.209190295982245
16,2.053250908519803
17,2.275282350935324
18,2.479455315841475
19,2.268286269106378
20,1.681735887965493
21,1.096356778774195
22,0.3967209602705705
23,-0.5717559820813575
24,-0.6258491674787688
25,-0.8395876532270817
26,-0.9098189636266876
27,-0.8692926437048155
28,-0.4333453945457381
29,-0.8650471159507485
30,-0.7261015446946663
31,-1.034535503693135
32,-1.229614613841806
33,-0.9799622818060795
34,-1.135108131660177
35,-1.080337489880642
36,-0.3919380639289716
37,0.8652189813730727
38,1.8679498766173
39,2.124895400273836
40,2.292322353033515
41,2.366744437001398
42,1.812226129590524
43,1.189994170334085
44,0.6289792663369362
45,-0.1546118756510038
