angle_deg,torque_nm
0,-0.1323457227016459
1,1.424063528878247
2,2.846171154260277
3,4.163993029477082
4,4.847365249267708
5,4.900846798195037
6,4.66765134340657
7,4.222944334145551
8,3.517571233437062
9,2.284339408009021
10,0.8926013756515943
11,-0.2739191652916272
12,-1.290877400271126
13,-1.732768878366576
14,-2.856998722735137
15,-3.015250336240361
16,-3.662295478181581
17,-3.190376874800049
18,-3.750186207954388
19,-3.851256899700648
20,-3.222035865092721
21,-2.337333590739701
22,-1.186231194107585
23,0.4946357255036937
24,1.943034566362165
25,3.42735022639571
26,4.548008385233676
27,4.915043285950264
28,4.934703370904195
29,4.41748664961068
30,3.948630811014075
31,2.641038382777186
32,1.555318624710856
33,0.5267584812860676
34,-0.3740081662618733
35,-1.177749092499778
36,-2.749780714713037
37,-2.629423192544866
38,-3.496299172821075
39,-3.70567919850006
40,-3.727030077912479
41,-3.923138885740126
42,-3.740582156461435
43,-3.180018823197401
44,-1.903556110283652
45,-0.1594176058404636
