angle_deg,torque_nm
0,2.335372486894042
1,1.168242060438679
2,0.04541688272446094
3,-0.7163830786119201
4,-1.70282482241982
5,-2.337885618118069
6,-2.69379571959221
7,-3.184021954019005
8,-3.334161543256132
9,-3.812398177623705
10,-3.634280453298617
11,-2.82131525705435
12,-1.974834519988018
13,-1.17623618927588
14,0.4639463899871951
15,1.906849399153629
16,2.655620640120564
17,3.889671362804887
18,4.476749313078551
19,4.557639110768105
20,4.128580289462475
21,3.325713976210584
22,2.598328132916596
23,1.669359154017315
24,0.716844443966405
25,-0.2523098827386258
26,-1.130525275497361
27,-2.116097514935565
28,-2.840221411838324
29,-3.10620370948611
30,-3.350706479199355
31,-3.644610428256675
32,-3.529938571853139
33,-3.336798123711348
34,-2.677047031626525
35,-1.402203469663284
36,-0.3580948736012121
37,1.189242468560947
38,2.298253208423203
39,3.400880991556649
40,4.324765191396284
41,4.549126548379087
42,4.229733880870478
43,4.023106598779338
44,3.093397930762447
45,2.458630101091305
