angle_deg,torque_nm
0,0.4936908713800045
0.5,1.386954754831403
1,2.239686923855571
1.5,3.360197741835616
2,4.347402926881127
2.5,4.994835063459965
3,5.82756904476475
3.5,6.179987833540898
4,6.412591705828068
4.5,6.5714687399998
5,6.447662281482242
5.5,6.066226005414309
6,5.388809905355327
6.5,5.04489485704628
7,4.421625759440562
7.5,4.313447435728776
8,3.54957213208585
8.5,2.409532646822597
9,2.169702936303903
9.5,1.945373166298016
10,1.558539568659245
10.5,0.6891811611792315
11,0.3779634255086717
11.5,-0.3592010559685887
12,-0.4470530798909496
12.5,-0.8344908832259853
13,-1.541989065949899
13.5,-1.900837936005753
14,-2.510680865538486
14.5,-3.147344044832021
15,-3.530531615016327
15.5,-4.288240129826288
16,-4.512915097895196
16.5,-5.186007746995515
17,-5.714492605082807
17.5,-5.703356307042431
18,-6.182990982742771
18.5,-6.080279744075027
19,-5.501426113155449
19.5,-5.199362321715136
20,-4.571527836594216
20.5,-3.930941960334471
21,-2.948454438534571
21.5,-1.898066193794052
22,-0.7737215865576483
22.5,0.4868048073629858
23,1.242998983951508
23.5,2.324090951693428
24,3.707506476207282
24.5,4.500829157249806
25,5.015742390834337
25.5,5.693778762107465
26,6.110606801808231
26.5,6.606555123139309
27,6.6520437999238
27.5,6.432540961612623
28,5.836298163391381
28.5,5.5506355374204
29,5.063047698704522
29.5,4.473838780445546
30,4.263796815704209
30.5,3.585932410101393
31,2.813541324482271
31.5,1.8949357169236
32,1.910459350849036
32.5,1.385808993756847
33,0.7247042563119619
33.5,0.5431078417915684
34,0.0925143043448288
34.5,-0.612219814948946
35,-1.147163911998105
35.5,-1.513238824279444
36,-1.971348293776413
36.5,-2.864229409290955
37,-2.703027978601937
37.5,-3.464145467909991
38,-4.032891069501939
38.5,-4.518881860317329
39,-5.207859013612904
39.5,-5.752275149176104
40,-6.131957281121254
40.5,-6.013121710570593
41,-5.993650419039104
41.5,-5.588859870731985
42,-5.270028222846253
42.5,-4.615965701803277
43,-3.836371671345777
43.5,-3.037960785284097
44,-1.86373983677555
44.5,-0.7487807376236261
45,0.5996935396258175
