angle_deg,torque_nm
0,-0.05161036270147138
1,1.964579749266364
2,3.60996106554822
3,4.686451798060609
4,5.543616749763082
5,5.251926385235812
6,4.522603820666157
7,3.387923324909822
8,2.33496744309959
9,1.457123487198807
10,0.5525973344853075
11,0.1687661119767752
12,-0.4536159699794636
13,-0.9290015018258913
14,-1.72649153836601
15,-3.056459524970695
16,-4.017502419351104
17,-4.708895550632526
18,-5.264979958790935
19,-5.03114694906786
20,-4.192991099270004
21,-2.454868921123699
22,-1.084612217971035
23,0.9990241794828647
24,2.644548245655038
25,4.088250872027734
26,4.671880747886707
27,5.255367610168532
28,4.689607422600786
29,3.806080401197202
30,2.727294039655436
31,1.942934019524351
32,0.9248995959331274
33,0.5702006489893281
34,-0.04453109034432479
35,-0.5203072727053864
36,-1.287476496651699
37,-2.222144297186005
38,-3.475318014512531
39,-4.313503987836375
40,-5.187227667495325
41,-5.127256449159312
42,-4.852235389596967
43,-3.876074108654311
44,-1.874903964597079
45,-0.1830443457622547
