angle_deg,torque_nm
0,-1.294138156313069
1,-1.364506100072224
2,-1.06841540052008
3,-0.7455765606640465
4,-0.3981680857932406
5,0.3806592691784601
6,0.6116991948663393
7,0.6571245187411261
8,0.4071085691227003
9,0.1224840376116832
10,-0.2902688137564646
11,-0.3971243890969366
12,-0.5175749032345339
13,-0.2513195460767179
14,0.2633612514248678
15,0.5278253564670812
16,1.265574251276536
17,1.433055646128091
18,1.619522615947331
19,1.287704751593386
20,0.5139047627293444
21,-0.2568066791269304
22,-1.096351387206637
23,-1.53814946169473
24,-1.191813286304369
25,-0.8749698931064739
26,-0.8511326055078541
27,0.07884992535682997
28,0.4625077484026816
29,0.5344141384810079
30,0.336007613623674
31,0.1136573274403563
32,-0.2384135081841425
33,-0.4808286388316172
34,-0.3713255721586897
35,-0.3448180851677584
36,0.18676761360965
37,0.5269648993937028
38,1.016596089191909
39,1.469660867133086
40,1.629762658150413
41,1.481899574068439
42,0.8954419851254757
43,-0.01898235582881593
44,-0.3671529826663997
45,-1.243563149766245
