angle_deg,torque_nm
0,1.955108034685971
1,0.8348700608933259
2,0.2153764297812206
3,-0.7144056621920919
4,-1.520784030547715
5,-1.696630320262602
6,-2.676595537781531
7,-3.038382797838815
8,-3.545342476723812
9,-3.740300814822728
10,-3.320494814209979
11,-2.858244078456529
12,-1.941966356728474
13,-0.8899348393695247
14,0.4252456589485852
15,1.646501790540286
16,2.775412508657812
17,3.508715392829265
18,4.10074786685742
19,4.006101597488232
20,3.543241599196286
21,3.052012141217523
22,2.3280967579232
23,1.151510398060502
24,0.6363210743943804
25,-0.3309086587283511
26,-1.100664528691076
27,-1.68014512329763
28,-2.764628147458008
29,-2.674452025420654
30,-3.371805475509821
31,-3.917065462380235
32,-3.669872077942141
33,-3.297403222186236
34,-2.454496956189453
35,-1.556242824136431
36,-0.1842540928510269
37,0.9217066770755519
38,2.443017968741415
39,3.208391329490196
40,3.818701768122373
41,4.335045662356793
42,3.619249214456966
43,3.566014697064153
44,2.691814420277259
45,2.022209869756819
