rpm,torque_nm,pulse_window_deg,pulse_window_rad,pulse_events_per_second,work_per_pulse_j,electrical_input_power_w,mechanical_pulse_power_w,load_power_w,net_electrical_energy_per_revolution_j,mechanical_pulse_energy_per_revolution_j,load_energy_per_revolution_j,balance_ratio,balance_flag
100,0.1,1,0.017453292519943295,20.0,0.0017453292519943296,0.35000000000000003,0.03490658503988659,8.377580409572783,0.21000000000000002,0.020943951023931956,5.026548245743669,0.09973310011396168,BALANCED
100,0.2,1,0.017453292519943295,20.0,0.003490658503988659,0.35000000000000003,0.06981317007977318,8.377580409572783,0.21000000000000002,0.04188790204786391,5.026548245743669,0.19946620022792336,BALANCED
100,0.3,1,0.017453292519943295,20.0,0.005235987755982988,0.35000000000000003,0.10471975511965977,8.377580409572783,0.21000000000000002,0.06283185307179585,5.026548245743669,0.299199300341885,BALANCED
100,0.4,1,0.017453292519943295,20.0,0.006981317007977318,0.35000000000000003,0.13962634015954636,8.377580409572783,0.21000000000000002,0.08377580409572782,5.026548245743669,0.3989324004558467,BALANCED
100,0.5,1,0.017453292519943295,20.0,0.008726646259971648,0.35000000000000003,0.17453292519943295,8.377580409572783,0.21000000000000002,0.10471975511965978,5.026548245743669,0.4986655005698084,BALANCED
100,0.6,1,0.017453292519943295,20.0,0.010471975511965976,0.35000000000000003,0.20943951023931953,8.377580409572783,0.21000000000000002,0.1256637061435917,5.026548245743669,0.59839860068377,BALANCED
100,0.7,1,0.017453292519943295,20.0,0.012217304763960306,0.35000000000000003,0.24434609527920614,8.377580409572783,0.21000000000000002,0.14660765716752366,5.026548245743669,0.6981317007977317,BALANCED
100,0.8,1,0.017453292519943295,20.0,0.013962634015954637,0.35000000000000003,0.2792526803190927,8.377580409572783,0.21000000000000002,0.16755160819145565,5.026548245743669,0.7978648009116934,BALANCED
100,0.9,1,0.017453292519943295,20.0,0.015707963267948967,0.35000000000000003,0.3141592653589793,8.377580409572783,0.21000000000000002,0.1884955592153876,5.026548245743669,0.8975979010256552,BALANCED
100,1.0,1,0.017453292519943295,20.0,0.017453292519943295,0.35000000000000003,0.3490658503988659,8.377580409572783,0.21000000000000002,0.20943951023931956,5.026548245743669,0.9973310011396168,BALANCED
100,1.1,1,0.017453292519943295,20.0,0.019198621771937627,0.35000000000000003,0.38397243543875254,8.377580409572783,0.21000000000000002,0.23038346126325154,5.026548245743669,1.0970641012535787,UNBALANCED
100,1.2,1,0.017453292519943295,20.0,0.020943951023931952,0.35000000000000003,0.41887902047863906,8.377580409572783,0.21000000000000002,0.2513274122871834,5.026548245743669,1.19679720136754,UNBALANCED
100,1.3,1,0.017453292519943295,20.0,0.022689280275926284,0.35000000000000003,0.4537856055185257,8.377580409572783,0.21000000000000002,0.2722713633111154,5.026548245743669,1.296530301481502,UNBALANCED
100,1.4,1,0.017453292519943295,20.0,0.024434609527920613,0.35000000000000003,0.4886921905584123,8.377580409572783,0.21000000000000002,0.29321531433504733,5.026548245743669,1.3962634015954634,UNBALANCED
100,1.5,1,0.017453292519943295,20.0,0.026179938779914945,0.35000000000000003,0.5235987755982989,8.377580409572783,0.21000000000000002,0.3141592653589793,5.026548245743669,1.4959965017094252,UNBALANCED
100,1.6,1,0.017453292519943295,20.0,0.027925268031909273,0.35000000000000003,0.5585053606381855,8.377580409572783,0.21000000000000002,0.3351032163829113,5.026548245743669,1.5957296018233869,UNBALANCED
100,1.7,1,0.017453292519943295,20.0,0.029670597283903602,0.35000000000000003,0.593411945678072,8.377580409572783,0.21000000000000002,0.3560471674068432,5.026548245743669,1.6954627019373485,UNBALANCED
100,1.8,1,0.017453292519943295,20.0,0.031415926535897934,0.35000000000000003,0.6283185307179586,8.377580409572783,0.21000000000000002,0.3769911184307752,5.026548245743669,1.7951958020513104,UNBALANCED
100,1.9,1,0.017453292519943295,20.0,0.03316125578789226,0.35000000000000003,0.6632251157578452,8.377580409572783,0.21000000000000002,0.39793506945470714,5.026548245743669,1.8949289021652718,UNBALANCED
